----system---- ----total-usage---- ------memory-usage----- -dsk/total-
     time     |usr sys idl wai stl| used  free  buf   cach| read  writ
21-03 14:01:48| 87   1   4   9   0|2653M 2445M 2292k 2713M|  41M    0 
21-03 14:01:49| 94   1   1   4   0|2652M 2401M 2292k 2756M|  44M    0 
21-03 14:01:50| 98   1   0   0   0|2653M 2356M 2292k 2801M|  44M    0 
21-03 14:01:51| 98   1   1   0   0|2652M 2320M 2292k 2837M|  36M    0 
21-03 14:01:52| 98   1   0   0   0|2653M 2283M 2292k 2873M|  36M    0 
21-03 14:01:53| 97   2   1   1   0|2654M 2247M 2292k 2909M|  36M    0 
21-03 14:01:54| 98   2   0   1   0|2654M 2211M 2292k 2945M|  36M    0 
21-03 14:01:55| 98   1   0   0   0|2653M 2175M 2292k 2981M|  36M   74k
21-03 14:01:56| 98   1   0   1   0|2654M 2138M 2292k 3017M|  36M    0 
21-03 14:01:57| 97   1   1   0   0|2654M 2101M 2292k 3054M|  37M    0 
21-03 14:01:58| 98   1   0   1   0|2654M 2057M 2292k 3099M|  45M    0 
21-03 14:01:59| 98   1   1   1   0|2653M 2013M 2292k 3142M|  44M    0 
21-03 14:02:00| 98   1   0   0   0|2654M 1976M 2292k 3179M|  37M    0 
21-03 14:02:01| 98   1   0   0   0|2654M 1939M 2292k 3215M|  36M   72k
21-03 14:02:02| 96   2   2   0   0|2653M 1904M 2292k 3251M|  36M 1024B
21-03 14:02:03| 95   1   1   2   0|2653M 1865M 2292k 3290M|  39M  449k
21-03 14:02:04| 98   1   0   1   0|2653M 1820M 2292k 3335M|  45M    0 
21-03 14:02:05| 98   1   0   0   0|2653M 1777M 2292k 3378M|  43M    0 
21-03 14:02:06| 98   1   0   0   0|2653M 1741M 2292k 3414M|  36M    0 
21-03 14:02:07| 98   1   0   1   0|2654M 1705M 2292k 3450M|  36M    0 
21-03 14:02:08| 98   1   1   2   0|2650M 1672M 2292k 3486M|  36M    0 
21-03 14:02:09| 97   1   0   0   0|2650M 1636M 2292k 3522M|  36M    0 
21-03 14:02:10| 98   1   1   1   0|2649M 1600M 2292k 3559M|  36M    0 
21-03 14:02:11| 97   1   0   1   0|2650M 1564M 2292k 3594M|  35M 4096B
21-03 14:02:12| 96   1   1   1   0|2650M 1529M 2292k 3629M|  35M    0 
21-03 14:02:13| 98   1   1   1   0|2650M 1493M 2292k 3665M|  36M    0 
21-03 14:02:14| 98   1   0   0   0|2650M 1457M 2292k 3701M|  36M 4093B
21-03 14:02:15| 98   1   0   0   0|2650M 1420M 2292k 3738M|  36M    0 
21-03 14:02:16| 98   1   1   0   0|2651M 1384M 2292k 3773M|  36M    0 
21-03 14:02:17| 97   2   0   0   0|2651M 1347M 2292k 3810M|  36M    0 
21-03 14:02:18| 98   1   1   2   0|2650M 1307M 2292k 3850M|  40M    0 
21-03 14:02:19| 97   1   1   1   0|2650M 1263M 2292k 3895M|  45M    0 
21-03 14:02:20| 98   1   0   1   0|2651M 1219M 2292k 3937M|  43M    0 
21-03 14:02:21| 97   1   0   0   0|2651M 1182M 2292k 3974M|  36M    0 
21-03 14:02:22| 98   2   1   1   0|2652M 1145M 2292k 4010M|  36M    0 
21-03 14:02:23| 98   1   0   0   0|2652M 1108M 2292k 4046M|  37M    0 
21-03 14:02:24| 97   1   0   1   0|2652M 1073M 2292k 4082M|  36M    0 
21-03 14:02:25| 99   1   1   0   0|2652M 1036M 2292k 4119M|  36M   58k
21-03 14:02:26| 97   1   1   1   0|2652M 1000M 2292k 4154M|  36M   36k
21-03 14:02:27| 98   1   1   1   0|2652M  964M 2292k 4190M|  36M    0 
21-03 14:02:28| 98   1   0   0   0|2652M  927M 2292k 4227M|  36M    0 
21-03 14:02:29| 98   1   1   0   0|2653M  891M 2292k 4262M|  36M    0 
21-03 14:02:30| 98   1   0   0   0|2652M  854M 2292k 4300M|  37M    0 
21-03 14:02:31| 98   1   0   0   0|2652M  818M 2292k 4336M|  37M    0 
21-03 14:02:32| 97   1   1   1   0|2652M  782M 2292k 4373M|  37M    0 
21-03 14:02:33| 93   1   0   6   0|2652M  746M 2292k 4408M|  35M   23k
21-03 14:02:34| 98   1   1   0   0|2653M  708M 2292k 4445M|  37M    0 
21-03 14:02:35| 98   1   0   0   0|2653M  671M 2292k 4482M|  37M    0 
21-03 14:02:36| 98   1   0   0   0|2654M  634M 2292k 4518M|  37M    0 
21-03 14:02:37| 98   1   0   0   0|2654M  596M 2292k 4556M|  37M    0 
21-03 14:02:38| 98   2   1   0   0|2654M  560M 2292k 4592M|  37M    0 
21-03 14:02:39| 97   1   1   1   0|2655M  522M 2292k 4629M|  37M    0 
21-03 14:02:40| 98   2   0   1   0|2654M  490M 2292k 4662M|  33M    0 
21-03 14:02:41| 98   1   0   0   0|2654M  452M 2292k 4699M|  37M    0 
21-03 14:02:42| 98   1   1   1   0|2653M  416M 2292k 4736M|  37M    0 
21-03 14:02:43| 97   2   1   1   0|2654M  377M 2292k 4775M|  39M    0 
21-03 14:02:44| 97   1   0   1   0|2654M  331M 2292k 4820M|  45M    0 
21-03 14:02:45| 98   1   1   0   0|2654M  285M 2292k 4866M|  46M 1024B
21-03 14:02:46| 97   1   1   1   0|2654M  247M 2292k 4904M|  38M 8191B
21-03 14:02:47| 97   1   0   1   0|2655M  210M 2292k 4941M|  37M    0 
21-03 14:02:48| 99   1   0   0   0|2654M  172M 2292k 4978M|  38M    0 
21-03 14:02:49| 97   1   0   0   0|2655M  134M 2292k 5016M|  37M    0 
21-03 14:02:50| 98   1   1   0   0|2654M  135M 2292k 5016M|  37M  140k
