----system---- ----total-usage---- ------memory-usage----- -dsk/total-
     time     |usr sys idl wai stl| used  free  buf   cach| read  writ
22-03 10:55:27| 88  12   0   0   0|3008M 2148M 4356k 2648M|  28M    0 
22-03 10:55:28| 89  10   0   0   0|3009M 2179M 4356k 2615M|  31M   72k
22-03 10:55:29| 90  10   1   0   0|3009M 2146M 4356k 2649M|  34M    0 
22-03 10:55:30| 87  13   0   0   0|3009M 2107M 4356k 2688M|  33M    0 
22-03 10:55:31| 87  13   0   0   0|3009M 2067M 4356k 2727M|  33M    0 
22-03 10:55:32| 85  14   0   0   0|3009M 2034M 4356k 2760M|  28M    0 
22-03 10:55:33| 89  12   0   0   0|3010M 2003M 4356k 2791M|  27M    0 
22-03 10:55:34| 88  12   0   0   0|3010M 1974M 4356k 2820M|  28M    0 
22-03 10:55:35| 89  11   0   0   0|3010M 1941M 4356k 2853M|  32M    0 
22-03 10:55:36| 88  11   0   0   0|3010M 1905M 4356k 2888M|  34M    0 
22-03 10:55:37| 88  12   0   0   0|3007M 1872M 4356k 2924M|  34M    0 
22-03 10:55:38| 87  13   0   0   0|3006M 1839M 4356k 2958M|  33M 1868k
22-03 10:55:39| 87  13   0   0   0|3005M 1810M 4356k 2988M|  28M    0 
22-03 10:55:40| 88  12   0   0   0|3004M 1780M 4356k 3019M|  28M    0 
22-03 10:55:41| 88  11   1   1   0|3004M 1748M 4356k 3051M|  27M  316k
22-03 10:55:42| 88  12   1   0   0|3003M 1711M 4356k 3088M|  32M    0 
22-03 10:55:43| 87  13   0   0   0|3003M 1672M 4356k 3128M|  34M    0 
22-03 10:55:44| 88  12   0   0   0|3003M 1632M 4356k 3168M|  33M    0 
22-03 10:55:45| 88  11   0   0   0|3003M 1594M 4356k 3206M|  32M    0 
22-03 10:55:46| 92   9   0   0   0|3005M 1561M 4356k 3236M|  27M    0 
22-03 10:55:47| 89  11   0   0   0|3005M 1534M 4356k 3264M|  28M    0 
22-03 10:55:48| 88  11   0   0   0|3005M 1506M 4356k 3291M|  27M    0 
22-03 10:55:49| 87  12   0   1   0|3005M 1473M 4356k 3325M|  33M 5120B
22-03 10:55:50| 86  13   0   0   0|3005M 1438M 4356k 3360M|  35M 2396k
22-03 10:55:51| 87  12   1   0   0|3005M 1403M 4356k 3394M|  35M    0 
22-03 10:55:52| 95   5   0   0   0|3005M 1367M 4356k 3430M|  36M   58k
22-03 10:55:53| 86  13   0   0   0|3005M 1339M 4356k 3458M|  28M    0 
22-03 10:55:54| 86  14   0   0   0|3005M 1311M 4356k 3486M|  28M    0 
22-03 10:55:55| 86  13   1   0   0|3005M 1283M 4356k 3514M|  28M   26M
22-03 10:55:56| 87  13   0   1   0|3005M 1248M 4356k 3549M|  35M    0 
22-03 10:55:57| 91   7   0   1   0|3005M 1208M 4356k 3589M|  39M    0 
22-03 10:55:58| 97   3   1   0   0|3007M 1162M 4356k 3633M|  44M    0 
22-03 10:55:59| 89  10   0   0   0|3007M 1132M 4356k 3663M|  31M    0 
22-03 10:56:00| 89  11   0   0   0|3007M 1104M 4356k 3691M|  28M   64M
22-03 10:56:01| 88  12   1   0   0|3007M 1076M 4356k 3718M|  27M    0 
22-03 10:56:02| 89  11   0   0   0|3007M 1048M 4356k 3747M|  29M    0 
22-03 10:56:03| 89  10   0   0   0|3007M 1013M 4356k 3782M|  35M   57k
22-03 10:56:04| 88  11   1   0   0|3007M  978M 4356k 3816M|  35M    0 
22-03 10:56:05| 88  12   0   0   0|3009M  941M 4356k 3851M|  35M    0 
22-03 10:56:06| 90  10   0   0   0|3009M  912M 4356k 3880M|  29M    0 
22-03 10:56:07| 88  11   0   0   0|3006M  887M 4356k 3908M|  28M    0 
22-03 10:56:08| 87  13   0   0   0|3006M  858M 4356k 3937M|  28M 1043k
22-03 10:56:09| 90  11   1   0   0|3006M  828M 4356k 3968M|  31M    0 
22-03 10:56:10| 88  11   0   0   0|3007M  791M 4356k 4003M|  35M    0 
22-03 10:56:11| 86  12   0   2   0|3008M  757M 4356k 4037M|  34M  287k
22-03 10:56:12| 88  11   0   0   0|3007M  722M 4356k 4071M|  34M    0 
22-03 10:56:13| 92   8   0   0   0|3007M  694M 4356k 4100M|  28M    0 
22-03 10:56:14| 92   8   0   0   0|3008M  666M 4356k 4127M|  27M    0 
22-03 10:56:15| 92   8   0   0   0|3008M  638M 4356k 4155M|  28M    0 
22-03 10:56:16| 93   7   1   0   0|3008M  607M 4356k 4186M|  31M    0 
22-03 10:56:17| 92   8   0   0   0|3008M  575M 4356k 4216M|  31M    0 
22-03 10:56:18| 90   9   0   0   0|3008M  541M 4356k 4251M|  35M   69k
22-03 10:56:19| 90  10   0   0   0|3008M  507M 4356k 4285M|  34M    0 
22-03 10:56:20| 88  11   0   0   0|3009M  480M 4356k 4312M|  26M    0 
22-03 10:56:21| 89  11   0   0   0|3009M  450M 4356k 4340M|  28M  110k
22-03 10:56:22| 89  11   0   0   0|3010M  422M 4356k 4368M|  28M    0 
22-03 10:56:23| 88  12   1   0   0|3009M  390M 4356k 4401M|  33M    0 
22-03 10:56:24| 87  12   0   0   0|3009M  355M 4356k 4436M|  35M    0 
22-03 10:56:25| 88  12   0   1   0|3008M  320M 4356k 4471M|  36M    0 
22-03 10:56:26| 88  11   0   0   0|3008M  287M 4356k 4505M|  34M   40k
22-03 10:56:27| 94   6   0   0   0|3008M  254M 4356k 4538M|  33M    0 
22-03 10:56:28| 87  12   1   0   0|3008M  225M 4356k 4566M|  28M    0 
22-03 10:56:29| 85  14   0   0   0|3009M  196M 4356k 4595M|  29M    0 
22-03 10:56:30| 86  14   0   1   0|3009M  161M 4356k 4629M|  34M    0 
22-03 10:56:31| 88  11   0   0   0|3009M  124M 4356k 4666M|  37M  360k
22-03 10:56:32| 89   7   1   3   0|3006M  129M 4340k 4670M|  40M   68k
22-03 10:56:33| 93   6   0   0   0|2997M  133M 4340k 4666M|  37M   20k
22-03 10:56:34| 93   6   1   1   0|2996M  135M 4340k 4664M|  33M  110k
22-03 10:56:35| 88  10   0   0   0|2999M  126M 4340k 4670M|  29M 1452k
22-03 10:56:36| 88  12   0   0   0|2999M  124M 4340k 4673M|  28M  856k
22-03 10:56:37| 92   8   0   1   0|3059M  124M 4340k 4613M|  40M   97k
22-03 10:56:38| 97   2   0   0   0|3053M  158M 4340k 4585M|  35M  708k
22-03 10:56:39| 85   2   1  13   0|3052M  119M 4340k 4625M|  39M  149k
22-03 10:56:40| 92   4   1   4   0|3057M  127M 4340k 4614M|  37M  699k
22-03 10:56:41| 95   2   1   3   0|3057M  125M 4340k 4616M|  37M  846k
22-03 10:56:42| 97   2   1   0   0|3056M  120M 4340k 4621M|  39M 1085k
22-03 10:56:43| 98   1   0   1   0|3056M  135M 4340k 4605M|  39M   24k
22-03 10:56:44| 97   2   1   1   0|3056M  133M 4340k 4608M|  46M   24k
22-03 10:56:45| 97   2   0   1   0|3056M  130M 4340k 4612M|  46M  100k
22-03 10:56:46| 97   2   1   0   0|3057M  125M 4340k 4615M|  37M  289k
22-03 10:56:47| 98   2   1   1   0|3056M  128M 4340k 4613M|  37M   16k
22-03 10:56:48| 97   2   1   1   0|3055M  142M 4340k 4600M|  37M   52k
22-03 10:56:49| 76   2   1  22   0|3055M  129M 4340k 4613M|  33M 8192B
22-03 10:56:50| 36   1  23  41   0|3055M  120M 4340k 4622M|  23M    0 
22-03 10:56:51| 31   1   7  60   0|3056M  126M 4340k 4615M|  22M   12k
22-03 10:56:52| 35   1  20  44   0|3057M  130M 4340k 4610M|  23M 8193B
22-03 10:56:53| 34   1   8  58   0|3056M  122M 4340k 4619M|  24M   41k
22-03 10:56:54| 44   1   9  46   0|3054M  127M 4340k 4616M|  27M   40k
22-03 10:56:55| 33   1   1  65   0|3054M  134M 4340k 4609M|  23M 4096B
22-03 10:56:56| 28   1  23  49   0|3053M  127M 4340k 4617M|  22M    0 
22-03 10:56:57| 28   0  25  44   0|3052M  135M 4340k 4610M|  23M   36k
22-03 10:56:58| 31   1  21  47   0|3052M  142M 4340k 4602M|  21M    0 
22-03 10:56:59| 30   0   8  61   0|3050M  122M 4340k 4624M|  22M 4097B
22-03 10:57:00| 31   1  14  54   0|3048M  146M 4340k 4603M|  22M 8191B
22-03 10:57:01| 31   0   2  66   0|3047M  125M 4340k 4625M|  22M   16k
22-03 10:57:02| 29   1  14  56   0|3047M  121M 4340k 4628M|  21M  522k
22-03 10:57:03| 27   1  24  49   0|3044M  130M 4340k 4623M|  21M   24k
22-03 10:57:04| 28   0  25  45   0|3043M  138M 4340k 4615M|  22M    0 
22-03 10:57:05| 29   0   3  67   0|3041M  120M 4340k 4635M|  21M   24k
22-03 10:57:06| 40   1  11  48   0|3041M  127M 4340k 4629M|  24M   28k
22-03 10:57:07| 53   1  10  36   0|3038M  122M 4340k 4637M|  29M   38k
22-03 10:57:08| 34   1  19  47   0|3037M  127M 4340k 4633M|  24M   12k
22-03 10:57:09| 37   1  16  46   0|3037M  146M 4340k 4613M|  25M   17k
22-03 10:57:10| 28   0  31  41   0|3036M  126M 4340k 4635M|  22M   25k
22-03 10:57:11| 32   1  25  43   0|3034M  136M 4340k 4626M|  21M   39k
22-03 10:57:12| 36   0  14  47   0|3034M  128M 4340k 4635M|  24M    0 
22-03 10:57:13| 31   1  16  52   0|3033M  122M 4340k 4642M|  21M    0 
22-03 10:57:14| 28   1   5  66   0|3032M  131M 4340k 4633M|  22M   16k
22-03 10:57:15| 47   1   5  47   0|3030M  137M 4340k 4630M|  27M   20k
22-03 10:57:16| 88   1   1   9   0|3029M  127M 4340k 4641M|  40M   44k
22-03 10:57:17| 97   1   0   1   0|3030M  139M 4340k 4627M|  45M   48k
22-03 10:57:18| 97   1   1   0   0|3026M  133M 4340k 4637M|  45M   44k
22-03 10:57:19| 98   1   0   1   0|3025M  124M 4340k 4648M|  39M   44k
22-03 10:57:20| 97   1   0   1   0|3027M  135M 4340k 4635M|  37M   60k
22-03 10:57:21| 98   1   0   0   0|3025M  122M 4340k 4650M|  37M   12k
22-03 10:57:22| 95   2   1   1   0|3051M  122M 4340k 4623M|  39M   84k
22-03 10:57:23| 98   1   0   1   0|3053M  133M 4340k 4611M|  46M   60k
22-03 10:57:24| 97   1   1   1   0|3055M  122M 4340k 4620M|  45M   29k
22-03 10:57:25| 97   2   0   1   0|3056M  143M 4340k 4599M|  43M   57k
22-03 10:57:26| 98   1   1   0   0|3057M  133M 4340k 4608M|  38M   48k
22-03 10:57:27| 97   2   1   0   0|3056M  147M 4340k 4594M|  37M   24k
22-03 10:57:28| 99   1   0   0   0|3057M  139M 4340k 4601M|  37M   52k
22-03 10:57:29| 97   1   0   1   0|3064M  146M 4340k 4587M|  36M   40k
22-03 10:57:30| 97   2   1   1   0|3065M  130M 4340k 4603M|  45M    0 
22-03 10:57:31| 97   2   1   1   0|3064M  135M 4340k 4598M|  46M   60k
22-03 10:57:32| 97   1   0   1   0|3063M  142M 4340k 4592M|  45M   16k
22-03 10:57:33| 97   1   0   1   0|3054M  135M 4340k 4608M|  37M   40k
22-03 10:57:34| 98   2   1   1   0|3054M  144M 4340k 4599M|  35M   44k
22-03 10:57:35| 97   1   0   0   0|3053M  138M 4340k 4607M|  37M   24k
22-03 10:57:36| 99   2   1   1   0|3051M  142M 4340k 4605M|  42M 8193B
22-03 10:57:37| 96   1   0   2   0|3050M  127M 4340k 4621M|  45M  100k
22-03 10:57:38| 53   1   9  37   0|3048M  128M 4340k 4621M|  29M 4097B
22-03 10:57:39| 29   1   9  61   0|3051M  124M 4340k 4622M|  21M   16k
22-03 10:57:40| 81   1   8  11   0|3051M  125M 4336k 4621M|  33M   48k
22-03 10:57:41| 93   1   0   4   0|3052M  121M 4336k 4624M|  35M   57k
22-03 10:57:42| 97   2   1   1   0|3052M  124M 4336k 4621M|  42M   32k
22-03 10:57:43| 86   1   2  11   0|3048M  122M 4336k 4628M|  42M   76k
22-03 10:57:44| 37   1  12  50   0|3050M  122M 4336k 4625M|  24M   20k
22-03 10:57:45| 54   1   6  39   0|3047M  123M 4336k 4628M|  30M   44k
22-03 10:57:46| 83   1   1  14   0|3047M  127M 4332k 4623M|  37M   40k
22-03 10:57:47| 97   1   1   1   0|3044M  124M 4312k 4630M|  44M    0 
22-03 10:57:48| 97   1   0   0   0|3042M  125M 4292k 4630M|  37M  116k
22-03 10:57:49| 97   1   0   2   0|3042M  126M 4272k 4630M|  36M   12k
22-03 10:57:50| 98   1   0   0   0|3039M  122M 4256k 4637M|  36M   56k
22-03 10:57:51| 97   2   1   1   0|3040M  125M 4232k 4634M|  42M   40k
22-03 10:57:52| 97   2   1   1   0|3041M  125M 4204k 4632M|  46M   76k
22-03 10:57:53| 95   1   1   3   0|3049M  126M 4176k 4623M|  40M   44k
22-03 10:57:54| 98   1   1   0   0|3049M  123M 4156k 4626M|  37M   48k
22-03 10:57:55| 97   1   0   2   0|3049M  123M 4136k 4626M|  36M   44k
22-03 10:57:56| 97   2   0   0   0|3051M  125M 4112k 4622M|  37M   41k
22-03 10:57:57| 98   1   0   0   0|3048M  124M 4088k 4626M|  45M   64k
22-03 10:57:58| 95   2   1   3   0|3051M  123M 4060k 4624M|  45M   28k
22-03 10:57:59| 95   1   0   3   0|3050M  126M 4032k 4621M|  44M   84k
22-03 10:58:00| 98   1   0   0   0|3053M  126M 4008k 4619M|  40M   36k
22-03 10:58:01| 98   1   0   0   0|3053M  122M 3992k 4623M|  37M   60k
22-03 10:58:02| 98   1   1   0   0|3052M  121M 3972k 4625M|  35M   36k
22-03 10:58:03| 97   2   0   0   0|3051M  124M 3952k 4623M|  38M   32k
22-03 10:58:04| 96   1   1   1   0|3051M  122M 3928k 4625M|  45M   60k
22-03 10:58:05| 97   2   1   1   0|3049M  126M 3900k 4623M|  45M   64k
22-03 10:58:06| 97   2   1   1   0|3050M  126M 3880k 4622M|  38M   44k
22-03 10:58:07| 98   1   0   1   0|3051M  125M 3860k 4623M|  37M   48k
22-03 10:58:08| 97   1   1   0   0|3050M  122M 3840k 4626M|  37M   44k
22-03 10:58:09| 98   1   1   1   0|3053M  123M 3816k 4622M|  40M   45k
22-03 10:58:10| 83   2   7   9   0|3055M  126M 3788k 4617M|  41M   48k
22-03 10:58:11| 32   1  18  49   0|3056M  122M 3776k 4621M|  24M   20k
22-03 10:58:12| 37   0   3  59   0|3055M  122M 3764k 4621M|  23M   60k
22-03 10:58:13| 68   2   7  24   0|3056M  128M 3744k 4614M|  30M   45k
22-03 10:58:14| 98   1   0   0   0|3056M  125M 3728k 4617M|  36M   44k
22-03 10:58:15| 97   2   1   1   0|3056M  125M 3708k 4618M|  37M   24k
22-03 10:58:16| 96   1   0   1   0|3055M  127M 3684k 4617M|  40M   68k
22-03 10:58:17| 97   2   1   1   0|3052M  127M 3660k 4619M|  45M   16k
22-03 10:58:18| 97   1   0   1   0|3050M  125M 3640k 4624M|  44M   60k
22-03 10:58:19| 99   1   0   1   0|3050M  125M 3620k 4624M|  37M   68k
22-03 10:58:20| 98   1   0   0   0|3058M  124M 3600k 4616M|  32M   52k
22-03 10:58:21| 98   2   1   0   0|3058M  121M 3580k 4620M|  37M   44k
22-03 10:58:22| 98   2   1   1   0|3057M  136M 3524k 4606M|  43M   92k
22-03 10:58:23| 66   1   9  23   0|3059M  149M 3464k 4591M|  35M   12k
22-03 10:58:24| 30   1   9  60   0|3058M  129M 3464k 4612M|  21M   52k
22-03 10:58:25| 30   1  16  53   0|3061M  148M 3408k 4590M|  22M    0 
22-03 10:58:26| 29   0  21  49   0|3058M  128M 3408k 4612M|  22M   12k
22-03 10:58:27| 30   1  18  52   0|3059M  136M 3368k 4604M|  21M   13k
22-03 10:58:28| 30   1  21  49   0|3058M  130M 3368k 4611M|  22M   36k
22-03 10:58:29| 33   1   6  59   0|3057M  123M 3368k 4619M|  22M   32k
22-03 10:58:30| 63   1   7  29   0|3055M  136M 3368k 4607M|  34M   36k
22-03 10:58:31| 97   2   1   1   0|3054M  135M 3368k 4610M|  45M   40k
22-03 10:58:32| 97   1   0   0   0|3051M  130M 3368k 4618M|  42M   76k
22-03 10:58:33| 96   2   0   1   0|3052M  122M 3368k 4625M|  37M   76k
22-03 10:58:34| 98   2   1   1   0|3050M  131M 3368k 4618M|  36M   64k
22-03 10:58:35| 97   2   0   0   0|3049M  125M 3368k 4625M|  37M   52k
22-03 10:58:36| 83   2   1  15   0|3048M  135M 3368k 4615M|  40M   84k
22-03 10:58:37| 37   1  10  54   0|3047M  128M 3368k 4624M|  24M    0 
22-03 10:58:38| 37   3   6  53   0|3051M  127M 3368k 4620M|  26M   12k
22-03 10:58:39| 42   3  17  37   0|3046M  136M 3368k 4616M|  25M  242k
22-03 10:58:40| 50   1  11  37   0|3046M  126M 3368k 4627M|  29M 8186B
