----system---- ----total-usage---- ------memory-usage----- -dsk/total-
     time     |usr sys idl wai stl| used  free  buf   cach| read  writ
13-05 23:43:00| 99   0   1   0   0|2076M 2874M 4404k 2788M|  16M 1024B
13-05 23:43:01| 99   1   0   0   0|2077M 2858M 4404k 2804M|  16M    0 
13-05 23:43:02| 99   0   1   0   0|2076M 2843M 4404k 2819M|  15M  788k
13-05 23:43:03| 99   1   0   0   0|2077M 2830M 4404k 2832M|  13M  196k
13-05 23:43:04| 99   1   1   0   0|2077M 2816M 4404k 2845M|  13M    0 
13-05 23:43:05| 98   1   0   0   0|2077M 2803M 4404k 2858M|  13M    0 
13-05 23:43:06|100   0   1   0   0|2077M 2787M 4404k 2874M|  16M    0 
13-05 23:43:07| 97   1   1   0   0|2077M 2771M 4404k 2890M|  17M 1102k
13-05 23:43:08| 99   0   1   0   0|2077M 2755M 4404k 2906M|  16M 7956k
13-05 23:43:09| 98   0   0   0   0|2077M 2740M 4404k 2921M|  15M    0 
13-05 23:43:10| 99   1   1   0   0|2076M 2727M 4404k 2935M|  13M    0 
13-05 23:43:11| 99   1   0   0   0|2077M 2713M 4404k 2948M|  13M    0 
13-05 23:43:12| 99   0   1   0   0|2077M 2700M 4404k 2961M|  13M    0 
13-05 23:43:13| 99   1   1   0   0|2077M 2684M 4404k 2977M|  16M    0 
13-05 23:43:14|100   1   1   0   0|2077M 2668M 4404k 2993M|  16M    0 
13-05 23:43:15| 96   2   1   0   0|2083M 2649M 4404k 3006M|  13M    0 
13-05 23:43:16| 97   1   1   0   0|2083M 2635M 4404k 3020M|  14M    0 
13-05 23:43:17| 97   2   1   0   0|2082M 2623M 4404k 3032M|  12M    0 
13-05 23:43:18| 99   1   1   0   0|2083M 2610M 4404k 3046M|  13M    0 
13-05 23:43:19| 98   0   1   0   0|2082M 2596M 4404k 3060M|  14M    0 
13-05 23:43:20| 99   1   1   0   0|2083M 2580M 4404k 3075M|  16M    0 
13-05 23:43:21| 98   1   1   0   0|2082M 2564M 4404k 3092M|  16M    0 
13-05 23:43:22| 99   1   1   0   0|2082M 2550M 4404k 3105M|  13M    0 
13-05 23:43:23| 98   0   1   0   0|2082M 2538M 4404k 3117M|  13M 4095B
13-05 23:43:24| 99   0   1   0   0|2082M 2524M 4404k 3130M|  13M    0 
13-05 23:43:25|100   0   1   0   0|2083M 2510M 4404k 3145M|  15M    0 
13-05 23:43:26| 98   0   1   0   0|2083M 2493M 4404k 3161M|  16M    0 
13-05 23:43:27| 98   1   1   0   0|2082M 2478M 4404k 3177M|  16M    0 
13-05 23:43:28| 99   0   1   0   0|2083M 2461M 4404k 3193M|  16M 5120B
13-05 23:43:29| 99   0   0   0   0|2082M 2449M 4404k 3206M|  13M  127k
13-05 23:43:30| 99   0   1   0   0|2083M 2435M 4404k 3219M|  13M    0 
13-05 23:43:31|100   0   0   0   0|2082M 2422M 4404k 3233M|  13M    0 
13-05 23:43:32| 98   1   1   1   0|2082M 2407M 4404k 3248M|  15M  566k
13-05 23:43:33| 99   0   1   0   0|2082M 2391M 4404k 3263M|  16M    0 
13-05 23:43:34| 98   0   0   0   0|2083M 2375M 4404k 3279M|  15M    0 
13-05 23:43:35| 99   0   0   0   0|2083M 2363M 4404k 3292M|  13M    0 
13-05 23:43:36| 99   1   1   0   0|2081M 2351M 4404k 3305M|  13M 5121B
13-05 23:43:37| 99   0   1   0   0|2081M 2338M 4404k 3318M|  13M    0 
13-05 23:43:38| 99   1   1   0   0|2081M 2322M 4404k 3334M|  16M 2048B
13-05 23:43:39| 99   0   0   0   0|2081M 2306M 4404k 3350M|  16M  724k
13-05 23:43:40| 98   0   1   0   0|2081M 2292M 4404k 3364M|  14M    0 
13-05 23:43:41| 98   1   1   0   0|2081M 2279M 4404k 3377M|  13M    0 
13-05 23:43:42| 99   0   0   0   0|2080M 2266M 4404k 3391M|  13M    0 
13-05 23:43:43| 99   0   1   0   0|2081M 2252M 4404k 3405M|  14M    0 
13-05 23:43:44| 99   0   1   0   0|2081M 2236M 4404k 3420M|  16M    0 
13-05 23:43:45| 98   1   0   0   0|2081M 2219M 4404k 3437M|  16M    0 
13-05 23:43:46| 99   1   1   0   0|2081M 2206M 4404k 3450M|  13M    0 
13-05 23:43:47| 99   0   1   0   0|2081M 2193M 4404k 3463M|  13M    0 
13-05 23:43:48| 99   0   0   0   0|2080M 2180M 4404k 3476M|  13M    0 
13-05 23:43:49| 99   0   1   0   0|2081M 2165M 4404k 3491M|  15M    0 
13-05 23:43:50| 99   1   0   0   0|2099M 2131M 4404k 3507M|  15M    0 
13-05 23:43:51| 95   1   3   0   0|2118M 2101M 4404k 3518M|  12M    0 
13-05 23:43:52| 99   0   1   0   0|2117M 2088M 4404k 3531M|  13M    0 
13-05 23:43:53| 98   1   1   0   0|2117M 2075M 4404k 3545M|  13M    0 
13-05 23:43:54| 99   0   1   0   0|2117M 2062M 4404k 3558M|  13M    0 
13-05 23:43:55| 99   1   0   0   0|2117M 2047M 4404k 3573M|  15M    0 
13-05 23:43:56| 99   0   1   0   0|2116M 2031M 4404k 3590M|  16M    0 
