"Point.Forecast" "Lo.95" "Hi.95"
"26.87500" 1147.3604889851 -1725.63695286519 4020.35793083539
"26.91667" 165.061871461909 -3631.11810790751 3961.24185083133
"26.95833" -57.6549662424188 -4592.83418769024 4477.52425520541
"27.00000" -735.499240591996 -5905.0948442673 4434.0963630833
"27.04167" -1482.52177285516 -7216.76861445745 4251.72506874714
"27.08333" -2677.97047907345 -8926.04658098777 3570.10562284087
"27.12500" -4135.70815375351 -10858.4548476428 2587.03854013581
"27.16667" -4517.27796251258 -11683.3222859233 2648.76636089811
"27.20833" -3413.4221341427 -10996.8949124926 4170.05064420717
"27.25000" -4085.065619895 -12064.1587710532 3894.02753126324
"27.29167" -4176.89359881022 -12532.8971680859 4179.10997046543
"27.33333" -3661.54318032761 -12378.1746274311 5055.08826677593
"27.37500" -3111.98649029776 -12174.9072071264 5950.93422653084
"27.41667" -3588.55802683736 -12985.014808753 5807.89875507826
"27.45833" -4037.88453338387 -13756.4373160411 5680.66824927338
"27.50000" -3807.5879680163 -13837.8988467569 6222.72291072429
"27.54167" -4002.13670415644 -14334.8035650917 6330.53015677877
"27.58333" -3418.45217374443 -14044.8754945968 7207.97114710797
"27.62500" -2708.45052559526 -13620.7252989339 8203.82424774337
"27.66667" -1534.53472571595 -12725.3617221327 9656.29227070079
"27.70833" -1173.96252668367 -12636.5746634794 10288.649610112
"27.75000" -1063.55873659131 -12791.6593983994 10664.5419252168
"27.79167" -1413.95485566092 -13401.6657826223 10573.7560713005
"27.83333" -704.546926082299 -12946.3638420175 11537.2699898529
"27.87500" -526.927543929839 -13101.3538013841 12047.4987135244
"27.91667" -1509.22616145303 -14326.1315539041 11307.6792309981
"27.95833" -1731.94299915736 -14786.8245372614 11322.9385389467
"28.00000" -2409.78727350693 -15698.3838927447 10878.8093457308
"28.04167" -3156.80980577009 -16675.081449871 10361.4618383308
"28.08333" -4352.25851198839 -18096.367663861 9391.85063988428
"28.12500" -5809.99618666845 -19776.2914904875 8156.29911715056
"28.16667" -6191.56599542752 -20376.5676749609 7993.43568410582
"28.20833" -5087.71016705764 -19488.0969946137 9312.67666049844
"28.25000" -5759.35365280994 -20371.9512630276 8853.24395740768
"28.29167" -5851.18163172515 -20672.9520068532 8970.58874340293
"28.33333" -5335.83121324255 -20363.8631931097 9692.20076662465
"28.37500" -4786.2745232127 -20017.7752149633 10445.2261685379
"28.41667" -5262.8460597523 -20695.1330405496 10169.440921045
"28.45833" -5712.17256629881 -21342.6667872943 9918.32165469664
"28.50000" -5481.87600093124 -21308.0953134348 10344.3433115723
"28.54167" -5676.42473707138 -21695.977972488 10343.1284983452
"28.58333" -5092.74020665937 -21303.3217507383 11117.8413374196
"28.62500" -4382.73855851019 -20782.123368073 12016.6462510526
"28.66667" -3208.82275863088 -19794.8617754367 13377.216258175
"28.70833" -2848.25055959861 -19618.8664815585 13922.3653623613
"28.75000" -2737.84676950625 -19691.0301442232 14215.3366052107
"28.79167" -3088.24288857585 -20222.0484982957 14045.562721144
"28.83333" -2378.83495899724 -19691.3784696012 14933.7085516067
"28.87500" -2201.21557684478 -19750.5254523764 15348.0942986869
"28.91667" -3183.51419436797 -20907.3722744339 14540.343885698
"28.95833" -3406.23103207229 -21302.9350128953 14490.4729487507
"29.00000" -4084.07530642187 -22151.9717393798 13983.821126536
"29.04167" -4831.09783868503 -23068.5798372225 13406.3841598525
"29.08333" -6026.54654490332 -24432.0516393545 12378.9585495478
"29.12500" -7484.28421958339 -26056.2923478595 11087.7239086927
"29.16667" -7865.85402834246 -26602.8856516184 10871.1775949334
"29.20833" -6761.99819997257 -25662.6125335472 12138.6161336021
"29.25000" -7433.64168572488 -26496.4350361606 11629.1516647108
"29.29167" -7525.46966464009 -26749.0738651094 11698.1345358292
"29.33333" -7010.11924615749 -26393.2001826647 12372.9616903497
"29.37500" -6460.56255612764 -26001.8187779286 13080.6936656733
"29.41667" -6937.13409266724 -26635.2955008028 12761.0273154684
"29.45833" -7386.46059921375 -27240.2872075996 12467.3660091721
"29.50000" -7156.16403384618 -27164.4447978383 12852.1167301459
"29.54167" -7350.71276998632 -27512.2644777697 12810.8389377971
"29.58333" -6767.02823957431 -27080.6944621081 13546.6379829595
"29.62500" -6057.02659142513 -26521.6766870265 14407.6235041762
"29.66667" -4883.11079154582 -25497.6389615109 15731.4173784193
"29.70833" -4522.53859251354 -25285.8629844593 16240.7857994322
"29.75000" -4412.13480242119 -25323.1966582921 16498.9270534497
"29.79167" -4762.53092149079 -25820.2937674093 16295.2319244277
"29.83333" -4053.12299191218 -25256.5718672681 17150.3258834437
"x"
"1" "======"
"Point.Forecast" "Lo.95" "Hi.95"
"26.87500" 371.262539876776 -249.350691826536 991.875771580089
"26.91667" 188.372812448454 -585.400331276544 962.145956173452
"26.95833" 215.216120366247 -686.054633921776 1116.48687465427
"27.00000" 55.7579193548212 -957.086129410703 1068.60196812035
"27.04167" -81.839555794378 -1195.13069548093 1031.45158389217
"27.08333" -217.504420090496 -1422.90114162636 987.892301445369
"27.12500" -578.721300970952 -1869.66876344735 712.226161505445
