"x"
"1" "house: 0"
"Point.Forecast" "Lo.95" "Hi.95"
"3.886905" 283.224528091151 -1392.05043593216 1958.49949211446
"3.892857" 109.929355133061 -1643.55172184586 1863.41043211198
"3.898810" -41.7173315881955 -1870.0623672866 1786.62770411021
"3.904762" 291.619043589873 -1608.64284673021 2191.88093390996
"3.910714" 269.37020226271 -1700.18429915194 2238.92470367736
"3.916667" 540.591118159089 -1495.899642017 2577.08187833518
"3.922619" 580.508863884207 -1520.78699784551 2681.80472561392
"3.928571" 482.418798494293 -1681.74246646779 2646.58006345638
"3.934524" 610.275225144811 -1614.97614560011 2835.52659588973
"3.940476" 445.72079693031 -1838.98779394994 2730.42938781056
"3.946429" 549.381041408011 -1793.27621638321 2892.03829919923
"3.952381" 730.110483614918 -1669.0961997956 3129.31716702544
"3.958333" 519.123787993674 -1935.32979518153 2973.57737116887
"3.964286" 689.501149857834 -1818.98286926635 3197.98516898202
"3.970238" 677.399314750105 -1883.97565905621 3238.77428855642
"3.976190" 506.500786168292 -2106.69485110825 3119.69642344483
"3.982143" 606.06326147769 -2057.94520715018 3270.07173010556
"3.988095" 299.82440626718 -2414.04567226658 3013.69448480094
"3.994048" 66.5797785217175 -2696.25218983986 2829.4117468833
"4.000000" 113.791108773968 -2697.15004458385 2924.73226213178
"4.005952" -99.5754880744507 -2957.81617945795 2758.66520330905
"4.011905" -1.5247318151894 -2906.29486594289 2903.24540231252
"4.017857" 31.3592921822844 -2919.20662207216 2981.92520643672
"4.023810" -156.343421208622 -3152.00510047082 2839.31825805357
"4.029762" 99.4297857901046 -2940.65879496537 3139.51836654558
"4.035714" 13.5032132849909 -3070.37231291248 3097.37873948246
"4.041667" 416.661668485776 -2710.3877304396 3543.71106741115
"4.047619" 728.572826351937 -2441.06242483382 3898.2080775377
"4.053571" 517.617577740834 -2694.03889638576 3729.27405186743
"4.059524" 411.547447713863 -2841.58750030768 3664.68239573541
"4.065476" 394.769209553991 -2899.32196591141 3688.86038501939
