"x"
"1" "house: 0"
"Point.Forecast" "Lo.90" "Hi.90" "Lo.95" "Hi.95"
"22.62500" 4199.25324508845 1203.54615456426 7194.96033561264 629.648078128559 7768.85841204834
"22.66667" 5207.31396267741 2211.60686473158 8203.02106062323 1637.7087868741 8776.91913848071
"22.70833" 3844.73894039842 849.031839315085 6840.44604148176 275.133760856535 7414.34411994031
"22.75000" 2577.85617717848 -417.850925231246 5573.56327958821 -991.749003943896 6147.46135830086
"22.79167" 2308.86204109514 -686.84506187532 5304.56914406561 -1260.74314069539 5878.46722288568
"22.83333" 4619.86255173606 1624.15544852854 7615.56965494358 1050.25736966306 8189.46773380906
"22.87500" 4759.8560040838 1665.58662767721 7854.1253804904 1072.80662968918 8446.90537847842
"22.91667" 4405.9628503488 1238.29032485584 7573.63537584177 631.448229075198 8180.4774716224
"22.95833" 1916.74117456009 -1281.45611120718 5114.93846032735 -1894.14594198851 5727.62829110868
"23.00000" 1787.21122664259 -1423.80321553915 4998.22566882434 -2038.94847376695 5613.37092705214
"23.04167" 1253.50785657765 -1962.90971166356 4469.92542481886 -2579.09006563288 5086.10577878819
"23.08333" 1918.60663423261 -1300.0923919128 5137.30566037802 -1916.70981274585 5753.92308121107
"23.12500" 952.491400212845 -2267.17163201265 4172.15443243833 -2883.97373085937 4788.95653128506
"23.16667" 1202.35296680871 -2017.71751470266 4422.42344832009 -2634.597670033 5039.30360365042
"23.20833" 952.159598290143 -2268.08311796268 4172.40231454297 -2884.99626890434 4789.31546548463
"23.25000" 1288.10981218578 -1932.20571398169 4508.42533835325 -2549.13281337315 5125.35243774471
"23.29167" 1364.05010277206 -1856.29620348115 4584.39640902527 -2473.22919952121 5201.32940506533
"23.33333" 5675.18798023567 2454.82866170962 8895.54729876172 1837.89317286299 9512.48278760836
"23.37500" 4907.63310863509 1687.26828915266 8127.99792811752 1070.33174646859 8744.93447080159
"23.41667" 3137.08579524574 -83.2813497774778 6357.45294026896 -700.218337973527 6974.38992846501
"23.45833" 3769.63945029159 549.271322140457 6990.00757844273 -67.6658543968424 7606.94475498003
"23.50000" 2990.88670428225 -229.48183948868 6211.25524805318 -846.419095647715 6828.19250421221
"23.54167" 2331.83533750333 -888.533381971927 5552.20405697859 -1505.47067179126 6169.14134679792
"23.58333" 3758.25977333315 537.890979578432 6978.62856708787 -79.0463244708722 7595.56587113718
"23.62500" 4000.34370088981 779.974875733251 7220.71252604636 163.037565668188 7837.64983611142
"23.66667" 5435.70932887993 2215.34049044817 8656.07816731169 1598.40317783993 9273.01547991994
"23.70833" 3841.41023554288 621.041391498989 7061.77907958677 4.10407781561344 7678.71639327015
"23.75000" 3007.60573174368 -212.763114672754 6227.97457816011 -829.700428810647 6844.911892298
"23.79167" 2014.24593576216 -1206.12291165727 5234.61478318159 -1823.06022598731 5851.55209751163
"23.83333" 3136.31619854573 -84.0526492977183 6356.68504638918 -700.989963708989 6973.62236080045
"x"
"1" "======"
"x"
"1" "house: 1"
"Point.Forecast" "Lo.90" "Hi.90" "Lo.95" "Hi.95"
"20.87500" 364.144019787153 -47.1872439307606 775.475283505067 -125.987411601449 854.275451175756
"20.91667" 701.36378963601 191.718619058613 1211.00896021341 94.0841126730335 1308.64346659899
"20.95833" 325.481039803647 -210.882725299986 861.84480490728 -313.635806212487 964.59788581978
"21.00000" 640.757185953008 91.9767214010109 1189.537650505 -13.1550700174785 1294.66944192349
"21.04167" 414.999249928326 -133.78121462367 963.779714480323 -238.91300604216 1068.91150589881
"21.08333" 318.627802444386 -230.152662107611 867.408266996383 -335.2844535261 972.540058414872
"21.12500" 315.916174884525 -232.864289667472 864.696639436522 -337.996081085961 969.828430855011
"21.16667" 281.545779340977 -267.23468521102 830.326243892973 -372.36647662951 935.458035311463
