----system---- ----total-usage---- ------memory-usage----- -dsk/total-
     time     |usr sys idl wai stl| used  free  buf   cach| read  writ
09-06 19:42:49| 38   1   6  55   0|3186M  660M 4324k 3970M|  25M 8193B
09-06 19:42:50| 29   1   5  65   0|3186M  638M 4324k 3993M|  23M    0 
09-06 19:42:51| 29   1  26  43   0|3186M  615M 4324k 4015M|  23M    0 
09-06 19:42:52| 32   1  17  51   0|3186M  592M 4324k 4038M|  22M    0 
09-06 19:42:53| 31   1  12  55   0|3186M  570M 4324k 4060M|  22M    0 
09-06 19:42:54| 30   0  17  52   0|3187M  547M 4324k 4082M|  23M   46k
09-06 19:42:55| 33   1  11  56   0|3187M  525M 4324k 4103M|  21M   11k
09-06 19:42:56| 32   1  16  51   0|3187M  501M 4324k 4127M|  24M    0 
09-06 19:42:57| 34   1   9  56   0|3186M  478M 4324k 4151M|  24M    0 
09-06 19:42:58| 30   0  20  49   0|3187M  455M 4324k 4174M|  23M    0 
09-06 19:42:59| 29   1  23  48   0|3186M  434M 4324k 4196M|  23M    0 
09-06 19:43:00| 30   0  18  50   0|3183M  414M 4324k 4219M|  23M    0 
09-06 19:43:01| 33   1  17  49   0|3183M  391M 4324k 4241M|  23M    0 
09-06 19:43:02| 60   1   9  30   0|3181M  364M 4324k 4270M|  29M   92k
09-06 19:43:03| 43   1  11  46   0|3179M  339M 4324k 4297M|  26M    0 
09-06 19:43:04| 30   1  11  58   0|3178M  317M 4324k 4320M|  23M    0 
09-06 19:43:05| 33   1  24  41   0|3178M  294M 4324k 4344M|  24M    0 
09-06 19:43:06| 31   1  20  48   0|3177M  271M 4324k 4366M|  23M    0 
09-06 19:43:07| 30   1  18  52   0|3175M  252M 4324k 4387M|  23M    0 
09-06 19:43:08| 32   0  19  49   0|3175M  229M 4324k 4411M|  23M    0 
09-06 19:43:09| 30   1  22  48   0|3173M  208M 4324k 4433M|  23M    0 
09-06 19:43:10| 31   1  25  42   0|3170M  188M 4324k 4456M|  23M    0 
