"Point.Forecast" "Lo.95" "Hi.95"
"24.20833" -4237.8436359708 -18893.4203299704 10417.7330580288
"24.25000" -3669.2887837276 -18541.1240946577 11202.5465272025
"24.29167" -3616.8887886826 -18701.8827494753 11468.1051721101
"24.33333" -2462.58773429264 -17757.7699848863 12832.594516301
"24.37500" -2517.88184737866 -18020.402847545 12984.6391527877
"24.41667" -3593.38937977826 -19300.5124340592 12113.7336745026
"24.45833" -3848.39713454343 -19757.4911352729 12060.696866186
"24.50000" -3430.64721760084 -19539.1800249601 12677.8855897584
"24.54167" -3641.47381833855 -19947.0062073007 12664.0585706236
"24.58333" -2348.74437239126 -18848.9244856269 14151.4357408444
"24.62500" -1864.86815024812 -18557.4264038814 14827.6901033852
"24.66667" -1242.20843588779 -18124.9528316507 15640.5359598751
"24.70833" -1073.38738029291 -18144.1991833205 15997.4244227347
"24.75000" -732.036635073326 -17988.8663814697 16524.7931113231
"24.79167" -887.212580329842 -18328.0763828436 16553.6512221839
"24.83333" 732.585940083158 -16890.3901837036 18355.5620638699
"24.87500" -243.820805427667 -18104.0031591915 17616.3615483361
"24.91667" -703.557095652884 -18741.6188261 17334.5046347942
"24.95833" -1721.13290130316 -19935.3369265452 16493.0711239389
"25.00000" -2555.57067665269 -20944.2298326343 15833.0884793289
"25.04167" -3918.23459186759 -22479.7092864222 14643.240102687
"25.08333" -5039.27761650842 -23771.9736349227 13693.4184019058
"25.12500" -5686.76584004045 -24589.1322897746 13215.6006096937
"25.16667" -6024.16953312444 -25094.6969165441 13046.3578502953
"25.20833" -5912.13166888574 -25149.3500739329 13325.0867361614
"25.25000" -5343.57681664254 -24746.0542163255 14058.9005830404
"25.29167" -5291.17682159754 -24857.5174740274 14275.1638308324
"25.33333" -4136.87576720758 -23865.718708664 15591.9671742488
"25.37500" -4192.1698802936 -24082.1875044783 15697.8477438911
"25.41667" -5267.67741269319 -25317.5741299359 14782.2193045496
"25.45833" -5522.68516745837 -25731.1961381812 14685.8258032645
"25.50000" -5104.93525051577 -25470.8251877502 15260.9546867187
"25.54167" -5315.76185125349 -25837.8238874445 15206.3001849375
"25.58333" -4023.03240530619 -24700.0870190319 16654.0222084195
"25.62500" -3539.15618316305 -24370.0501817585 17291.7378154324
"25.66667" -2916.49646880273 -23900.1020231979 18067.1090855924
"25.70833" -2747.67541320785 -23882.8891415846 18387.5383151689
"25.75000" -2406.32466798826 -23692.0667651267 18879.4174291501
"25.79167" -2561.50061324478 -23996.7140226702 18873.7127961807
"25.83333" -941.70209283178 -22525.351719096 20641.9475334325
"25.87500" -1918.1088383426 -23695.8671582311 19859.6494815459
"25.91667" -2377.84512856782 -24301.7205779768 19546.0303208412
"25.95833" -3395.4209342181 -25464.4461053244 18673.6042368882
"26.00000" -4229.85870956763 -26443.0851587948 17983.3677396595
"26.04167" -5592.52262478252 -27949.0202611827 16763.9750116177
"26.08333" -6713.56564942336 -29212.4221503234 15785.2908514767
"26.12500" -7361.05387295539 -30001.3741253241 15279.2663794133
"26.16667" -7698.45756603938 -30479.3631321388 15082.44800006
"26.20833" -7586.41970180068 -30507.0483077805 15334.2089041792
"26.25000" -7017.86484955747 -30077.3698957415 16041.6401966265
"26.29167" -6965.46485451247 -30163.0149462077 16232.0852371828
"26.33333" -5811.16380012251 -29145.9422978592 17523.6146976142
"26.37500" -5866.45791320854 -29337.6625013876 17604.7466749705
"26.41667" -6941.96544560813 -30548.8077185993 16664.876827383
"26.45833" -7196.97320037331 -30938.678265166 16544.7318644194
"26.50000" -6779.22328343071 -30655.029377997 17096.5828111356
